Research_paper,Question,k value,answer_relevancy,faithfulness,answer_correctness
2,1,4,0.8690109876234122,0.7391304347826086,0.21211819034271687
2,1,5,0.8180228160132402,0.7857142857142857,0.20967828285424997
2,1,6,0.8231875143362096,0.8181818181818182,0.20845314714063362
2,1,7,0.8530847066702184,0.8636363636363636,0.20823255526756426
2,1,8,0.8272104454950543,0.9130434782608695,0.2037422025284909
2,2,4,0.9832342532000565,0.6153846153846154,0.31121034765839584
2,2,5,0.9865474699235526,0.6666666666666666,0.3991978525270119
2,2,6,0.9832342532000565,0.7142857142857143,0.2763574299791931
2,2,7,0.9865474699235526,0.6086956521739131,0.546263798768549
2,2,8,0.9722350001938497,0.55,0.3767405712748725
2,3,4,0.982179340342154,0.8095238095238095,0.4234219194348827
2,3,5,0.9870026458870831,0.42857142857142855,0.3177338875144914
2,3,6,0.9868148432192811,0.72,0.5019197302300107
2,3,7,0.982179340342154,0.7083333333333334,0.4394594802708636
2,3,8,0.9870026458870831,0.9473684210526315,0.6942061988559548
