faithfulness,answer_relevancy,answer_correctness
0.8947368421052632,0.8685852172677678,0.20647119920184065
0.8421052631578947,0.9039467286394627,0.21479316200212434
0.8636363636363636,0.8577625513623967,0.20904106150193721
0.6956521739130435,0.8181933856491115,0.2069223835146195
0.8,0.8710658925770884,0.21513989121572744
0.56,0.9865474699235526,0.44554400920946485
0.5789473684210527,0.9865474699235526,0.45391435932692603
0.6521739130434783,0.9722350001938497,0.2770485567709786
0.7333333333333333,0.9865474699235526,0.35478145945826134
0.5,0.9722217008087353,0.42327911938522406
0.5238095238095238,0.9866799306351942,0.2814266712491776
0.45,0.9821898354846013,0.5777477459459261
0.7692307692307693,0.9870026458870831,0.3958311304649136
1.0,0.9856240055790162,0.76017661359816
0.42105263157894735,0.9822000207400983,0.38867079114121705
