faithfulness,answer_relevancy,answer_correctness
0.95,0.8950439458380884,0.22595649609671242
1.0,0.8949892054987172,0.28150239558698653
0.7222222222222222,0.8950439458380884,0.27771672608181797
0.72,0.9501141889824916,0.269676133105668
0.8823529411764706,0.872490301436415,0.2810263810693414
1.0,0.934739228925299,0.7288636277487333
1.0,0.8570471795523885,0.5197385279167774
1.0,0.8025528061674785,0.9191694927215033
0.8421052631578947,0.926387422314292,0.6615243939724484
0.9473684210526315,0.9260972951949958,0.6745687933412894
1.0,0.8819445465639812,0.4203525536732522
1.0,0.8991077698079611,0.42185576021064863
1.0,0.8726922129705911,0.40658667109560753
1.0,0.8967652293317893,0.414958677019032
1.0,0.877512204008238,0.3987601572411223
