faithfulness,answer_relevancy,answer_correctness
0.9565217391304348,0.9015761452287692,0.3790662359480217
0.6666666666666666,0.8950439458380884,0.22643008114537744
0.8888888888888888,0.8868227243373746,0.2783025813930356
0.9090909090909091,0.8925297934216415,0.2727357466041309
1.0,0.9889828260163855,0.7012577724613114
1.0,0.9347110691125862,0.6787578941701321
1.0,0.8579156423407229,0.6879332847797773
0.8947368421052632,0.9179276735290792,0.4273978617190709
1.0,0.9197372552666251,0.6491821214392572
0.8461538461538461,0.946919557158383,0.480866299556556
1.0,0.8819445465639812,0.4012835004071402
1.0,0.9091558745348995,0.4151066884698536
1.0,0.8756503224691515,0.4118696279161347
1.0,0.8967401831524657,0.41484624021878014
0.9642857142857143,0.9091558745348995,0.4018974709258448
