faithfulness,answer_relevancy,answer_correctness
1.0,0.8364374179792317,0.2139117386234268
0.85,0.8003124860938714,0.21380723979355465
0.8695652173913043,0.814463099885287,0.20631658519585339
0.8333333333333334,0.8621452703345547,0.21286447437571276
0.9523809523809523,0.8053267945532867,0.2025943828006951
0.5862068965517241,0.9723375166309699,0.5019521881341544
0.6896551724137931,0.9722350001938497,0.373514953785022
0.55,0.9865474699235526,0.41682358416600207
0.7777777777777778,0.9865474699235526,0.4133300565834299
0.5238095238095238,0.9865404995067067,0.459891114238624
0.7894736842105263,0.9865205948239002,0.382531373194988
0.8095238095238095,0.9856163085489756,0.37045620605832
0.9310344827586207,0.9822164852206158,0.5634596138773293
0.7368421052631579,0.9856240055790162,0.4908055421175551
0.6818181818181818,0.9866582270098144,0.37257615201041383
